attack,speed,pdr,throughput,routingOverhead,nrl
none,0,95.881,35.7912,20633,10.452
none,5,94.2125,32.4864,24099,13.0233
none,10,92.4816,34.4952,23533,16.7358
none,15,92.4023,32.94,19858,17.0216
none,20,90.5467,30.3264,18196,17.3846
blackhole,0,42.3796,25.532,12727,22.2203
blackhole,5,33.3144,27.9504,10588,25.1376
blackhole,10,31.9547,27.432,9741,25.6071
blackhole,15,28.9462,23.9976,9523,24.072
blackhole,20,28.6261,24.2568,9425,26.626
smartblack,0,84.136,32.076,18946,12.7582
smartblack,5,93.7677,35.748,16360,15.9275
smartblack,10,91.2748,34.7976,15962,9.90813
smartblack,15,89.5751,34.1496,18521,11.7147
smartblack,20,77.2805,29.4624,18495,15.7588
grayhole,0,47.0538,24.1264,14515,15.1942
grayhole,5,59.9518,26.2872,13861,14.8546
grayhole,10,56.1303,29.7864,13386,16.3328
grayhole,15,55.3654,25.6824,12014,19.7864
grayhole,20,54.7592,24.6888,12519,18.4523
smartgray,0,94.745,34.2144,17267,10.9009
smartgray,5,92.238,35.1648,18910,11.6155
smartgray,10,86.8527,31.968,20847,15.0858
smartgray,15,87.6289,33.0264,19929,18.034
smartgray,20,86.5099,30.6936,17757,18.9036
