Nodes,Speed,Blackholes,PDR,Throughput,Delay
20,0,0,0,0,0
20,0,1,0,0,0
20,0,2,0.3517,0.0576,2.94142
20,0,3,0.468384,0.0768,3.73721
30,0,0,13.8449,36.8088,1.82127
30,0,1,13.8449,36.8088,1.82127
30,0,2,14.1167,36.8856,1.84397
30,0,3,14.1167,36.8856,1.84397
40,0,0,10.6562,37.0408,1.15208
40,0,1,10.6562,37.0408,1.15208
40,0,0,81.6856,288.386,71.8784
40,0,2,10.9244,37.1368,1.28648
40,0,3,10.9244,37.1368,1.28648
50,0,0,8.81637,36.3336,21.581
50,0,1,1.64014,0.6456,31.995
40,0,1,29.7052,91.7184,1.76068
50,0,2,1.97115,0.78,41.6925
50,0,3,1.97115,0.78,41.6925
60,0,0,3.44398,17.928,0.999223
60,0,1,3.52405,17.9664,1.22698
60,0,2,3.76344,18.0816,1.50275
40,0,2,25.3941,73.5888,1.71147
60,0,3,4.00165,18.1968,1.97736
50,0,0,8.81637,36.3336,21.581
50,0,1,1.64014,0.6456,31.995
40,0,3,25.3941,73.5888,1.71147
50,0,2,1.97115,0.78,41.6925
50,0,3,1.97115,0.78,41.6925
50,10,0,5.64593,15.4144,351.978
50,10,1,8.22931,14.9536,191.559
50,10,2,8.81948,15.2192,181.971
50,10,3,11.1209,18.7648,206.115
50,20,0,6.68896,20.7352,291.288
60,0,0,95.4709,501.24,61.9461
50,20,1,9.66543,24.4544,241.833
50,20,2,10.2079,24.704,227.864
50,20,3,12.0487,24.9496,148.745
60,0,1,56.9814,271.891,44.6386
60,0,2,47.3604,225.491,22.3629
60,0,3,37.5,176.803,13.4791
80,0,0,88.9913,598.502,41.6867
80,0,1,58.1612,333.113,31.6246
80,0,2,53.2017,305.999,25.4661
80,0,3,52.6164,296.306,25.9883
100,0,0,93.3864,775.835,84.4076
100,0,1,56.3186,345.706,58.5542
100,0,2,49.4679,246.566,51.2061
100,0,3,44.0964,209.858,43.4313
50,0,0,90.0255,396.37,80.7988
50,0,1,25.7466,89.2104,22.0412
50,0,2,19.4532,55.9048,13.5563
50,0,3,13.9863,35.6048,20.4553
50,5,0,73.4738,281.62,138.563
50,5,1,50.7182,151.248,69.5658
50,5,2,45.8551,143.2,43.7853
50,5,3,30.9071,48.6832,49.2672
50,10,0,63.1411,195.748,90.6334
50,10,1,58.5925,145.78,67.7187
50,10,2,57.9474,140.522,76.0689
50,10,3,36.8783,55.5192,63.292
50,15,0,69.2547,246.761,110.382
50,15,1,62.5855,152.771,91.1408
50,15,2,59.9096,141.478,55.445
50,15,3,46.9196,79.728,57.2953
50,20,0,65.7734,227.711,224.2
50,20,1,62.7902,164.958,189.603
50,20,2,58.6384,157.504,168.385
50,20,3,49.1593,104.273,62.2368
