nNodes,attack,nMalicious,defense,speed,pdr,throughput,routingOverhead,nrl
50,none,0,none,5,94.7148,19.5091,12364,5.47564
50,none,0,none,15,89.0805,17.9366,28707,13.828
50,none,0,none,25,87.0252,17.5133,34259,16.9013
50,none,0,none,35,86.8993,17.4874,78571,38.8197
50,grayhole,1,none,5,67.0302,13.8067,76351,64.7791 
50,grayhole,1,none,15,62.5034,12.4026,68645,74.0141
50,grayhole,1,none,25,64.9379,9.8176,77272,73.0566
50,grayhole,1,none,35,63.7366,11.7462,63146,72.6895
50,grayhole,2,none,5,62.1644,12.8045,74851,77.2544
50,grayhole,2,none,15,63.6846,10.8518,76206,79.465
50,grayhole,2,none,25,65.9463,13.7894,73401,68.2563
50,grayhole,2,none,35,61.9966,12.7699,78608,70.9513
50,grayhole,1,ids,5,73.4648,13.0723,72059,54.236
50,grayhole,1,ids,15,72.3641,9.96192,78879,57.085
50,grayhole,1,ids,25,72.0621,10.079,70390,37.8238
50,grayhole,1,ids,35,70.8842,12.1587,68043,44.677
50,grayhole,2,ids,5,74.2785,11.1802,78125,60.3748
50,grayhole,2,ids,15,71.8876,10.6877,76206,69.6896
50,grayhole,2,ids,25,70.6611,12.7008,76321,58.7218
50,grayhole,2,ids,35,70.151,12.3898,73998,58.576
50,grayhole,1,mbdp,5,89.9329,18.5242,82059,34.584
50,grayhole,1,mbdp,15,87.2802,15.0941,88879,43.4596
50,grayhole,1,mbdp,25,85.5101,15.7594,88488,41.983
50,grayhole,1,mbdp,35,84.0419,15.457,88521,49.4807
50,grayhole,2,mbdp,5,87.953,15.9968,87337,35.7988
50,grayhole,2,mbdp,15,86.5285,16.4675,91406,63.3444
50,grayhole,2,mbdp,25,85.6158,16.1632,84687,48.2547
50,grayhole,2,mbdp,35,85.4983,17.1091,83326,48.5769
50,grayhole,1,trust,5,89.2183,15.9059,89329,54.8251
50,grayhole,1,trust,15,90.5205,16.1197,95622,53.2984
50,grayhole,1,trust,25,89.5432,16.0918,88488,54.2538
50,grayhole,1,trust,35,87.0484,17.3379,80097,56.0903
50,grayhole,2,trust,5,92.8124,16.7136,96483,57.8089
50,grayhole,2,trust,15,88.07,19.4458,96391,59.7279
50,grayhole,2,trust,25,87.1756,17.5021,87839,60.7042
50,grayhole,2,trust,35,86.9393,16.2234,91520,58.4542
50,smartgray,1,none,5,88.0453,18.1354,77385,69.6317
50,smartgray,1,none,15,85.3607,17.5824,78473,72.4757
50,smartgray,1,none,25,84.9815,16.7402,78547,65.2135
50,smartgray,1,none,35,83.5151,15.2022,75104,62.767
50,smartgray,2,none,5,85.6124,17.6342,73236,67.6815
50,smartgray,2,none,15,84.4379,17.3923,70716,65.0328
50,smartgray,2,none,25,82.7601,17.0467,75305,67.2362
50,smartgray,2,none,35,80.7047,15.6234,80068,68.6154
50,smartgray,1,ids,5,73.1292,12.1526,71298,43.4545
50,smartgray,1,ids,15,71.7114,13.8307,70700,36.2936
50,smartgray,1,ids,25,75.0319,11.7206,76542,37.3194
50,smartgray,1,ids,35,72.6426,10.9926,72446,44.5413
50,smartgray,2,ids,5,78.2299,13.1136,68772,36.8751
50,smartgray,2,ids,15,75.7131,12.5952,72042,50.9928
50,smartgray,2,ids,25,77.396,12.3837,77915,38.7251
50,smartgray,2,ids,35,79.7534,11.8394,79520,45.9312
50,smartgray,1,mbdp,5,80.495,14.5802,82927,42.1714
50,smartgray,1,mbdp,15,79.1443,13.3318,95999,47.8559
50,smartgray,1,mbdp,25,79.9899,12.9712,84356,41.1493
50,smartgray,1,mbdp,35,77.5101,12.7594,90313,49.5137
50,smartgray,2,mbdp,5,78.1359,15.36,85113,30.6414
50,smartgray,2,mbdp,15,79.5436,13.7962,91922,47.285
50,smartgray,2,mbdp,25,77.2836,13.7725,88344,42.948
50,smartgray,2,mbdp,35,78.2349,13.5565,84098,41.3868
50,smartgray,1,trust,5,83.2515,15.1846,110387,42.3375
50,smartgray,1,trust,15,85.172,14.3661,101861,45.8442
50,smartgray,1,trust,25,86.402,13.0422,97123,45.7858
50,smartgray,1,trust,35,84.2053,12.7376,92313,48.0585
50,smartgray,2,trust,5,89.024,14.1414,92362,42.7245
50,smartgray,2,trust,15,84.6469,14.1069,103049,41.9295
50,smartgray,2,trust,25,87.0582,13.1114,101134,39.8239
50,smartgray,2,trust,35,88.1518,12.3834,105217,38.9258


