nodes,blackhole,speed,pdr,throughput,delay
20,0,0,98.8509,37.8,16.2195
20,1,0,37.1003,26.7408,17.17
20,2,0,26.0976,22.356,6.93857
20,3,0,17.561,22.9392,6.76253
30,0,0,97.9086,51.2784,44.4567
30,1,0,40.5343,22.6152,37.5867
30,2,0,27.3209,20.8224,21.0079
30,3,0,25.7724,19.9584,23.1281
35,0,0,94.3469,56.3328,62.7567
35,1,0,48.0014,30.6072,55.2234
35,2,0,29.2344,18.6408,41.4096
35,3,0,25.6098,32.2704,42.7337
40,0,0,95.645,62.6832,90.5409
40,1,0,50.1924,56.7432,57.7026
40,2,0,30.8049,46.0728,47.0224
40,3,0,25.626,41.148,54.3493
45,0,0,96.4146,58.5144,95.4429
45,1,0,48.6179,38.7504,64.0283
45,2,0,26.0976,20.8008,70.4552
45,3,0,27.4255,29.8296,56.6486
50,0,0,96.6233,64.26,102.127
50,1,0,52.6694,45.9648,75.8729
50,2,0,34.0108,27.108,70.0497
50,3,0,31.5447,33.1128,62.6297
