nodes,blackhole,speed,pdr,throughput,delay
20,0,0,98.7842,35.1,17.5418
20,1,0,62.1884,22.0968,20.1358
20,2,0,30.2128,10.7352,15.0394
20,3,0,27.8419,9.8928,12.8976
30,0,0,88.9275,44.2368,49.2279
30,1,0,17.8897,8.8992,66.0831
30,2,0,12.766,6.3504,42.5448
30,3,0,17.8029,8.856,42.9827
35,0,0,79.2933,45.0792,56.1403
35,1,0,33.5106,19.0512,56.2071
35,2,0,19.8708,11.2968,40.6328
35,3,0,32.5988,18.5328,44.6233
40,0,0,83.7386,59.508,60.0711
40,1,0,46.7477,33.2208,52.4722
40,2,0,30.6079,21.7512,31.3634
40,3,0,35.1672,24.9912,42.3481
45,0,0,85.7447,60.9336,65.2051
