nodes,Greyhole,speed,pdr,throughput,delay
20,0,0,98.8669,37.692,18.7608
20,1,0,54.6176,20.8224,20.4346
20,2,0,59.7167,22.7664,9.50229
20,3,0,52.7025,24.6672,12.3211
30,0,0,93.881,35.7912,36.3066
30,1,0,49.1501,22.5504,32.8544
30,2,0,55.3399,23.004,47.3876
30,3,0,50.9915,19.44,28.7691
35,0,0,92.068,35.1,34.1474
35,1,0,44.9858,17.1504,42.8717
35,2,0,43.1586,18.36,34.1799
35,3,0,42.8895,16.3512,40.0186
40,0,0,88.2153,33.6312,45.1653
40,1,0,48.2153,18.3816,63.4758
40,2,0,48.4986,18.4896,51.6645
40,3,0,38.0737,14.5152,35.5504
45,0,0,87.5722,33.0048,41.4688
45,1,0,47.4788,18.1008,40.481
45,2,0,56.6006,21.5784,60.4071
45,3,0,55.0142,20.9736,37.149
50,0,0,90.085,34.344,52.4815
50,1,0,38.8669,14.8176,43.6171
50,2,0,62.7762,23.9328,39.9994
50,3,0,45.5524,17.3664,34.4433
