nNodes,nFlows,pps,areaMult,scenario,throughput,delay,pdr,dropRatio,energy
20,20,200,3,normal,437.875200,640.406132,5.538949,94.461051,281.046664
40,20,200,3,normal,2282.688000,393.926683,14.437553,85.562447,557.772514
60,20,200,3,normal,558.813600,644.678203,3.534386,96.465614,554.775030
80,20,200,3,normal,185.846400,678.946625,1.175442,98.824558,575.599388
100,20,200,3,normal,34.106400,765.576332,0.215716,99.784284,594.810751
20,20,200,3,grayhole_none,193.082400,613.115194,2.442416,97.557584,281.290804
40,20,200,3,grayhole_none,2231.928000,494.509461,14.116506,85.883494,548.695713
60,20,200,3,grayhole_none,682.279200,566.071136,4.315282,95.684718,531.965150
20,20,200,3,grayhole_trust,80.308800,543.528966,1.153748,98.846252,144.422496
20,20,200,3,smartgray_none,440.510400,602.263486,6.143141,93.856859,128.044528
40,20,200,3,smartgray_none,2174.558400,371.472989,15.162660,84.837340,252.718077
60,20,200,3,smartgray_none,509.760000,612.841825,3.554431,96.445569,253.724941
80,20,200,3,smartgray_none,181.699200,597.592962,1.266944,98.733056,259.640164
100,20,200,3,smartgray_none,54.777600,640.823336,0.381951,99.618049,265.431231
40,20,200,3,smartgray_trust,1007.510400,431.386985,7.123027,92.876973,275.301270










nNodes,nFlows,pps,areaMult,scenario,throughput,delay,pdr,dropRatio,energy
40,10,200,3,normal,1084.492800,578.006843,13.718408,86.281592,317.435860
40,20,200,3,normal,2282.688000,393.926683,14.437553,85.562447,557.772514
40,30,200,3,normal,2282.688000,393.926683,14.437553,85.562447,557.772514
40,10,200,3,smartgray_none,1050.235200,433.686213,14.646063,85.353937,139.192903
40,20,200,3,smartgray_none,2174.558400,371.472989,15.162660,84.837340,252.718077
40,30,200,3,smartgray_none,2160.043200,379.754695,15.061449,84.938551,252.619009
40,40,200,3,smartgray_none,2103.840000,370.422007,14.669558,85.330442,253.049238
40,50,200,3,smartgray_none,2103.840000,370.422007,14.669558,85.330442,253.049238
40,10,200,3,smartgray_trust,74.865600,466.667964,1.086623,98.913377,179.163877
40,20,200,3,smartgray_trust,1007.510400,431.386985,7.123027,92.876973,275.301270











nNodes,nFlows,pps,areaMult,scenario,throughput,delay,pdr,dropRatio,energy
40,20,100,3,normal,1674.410400,388.882769,21.181212,78.818788,324.407736
40,20,200,3,normal,2282.688000,393.926683,14.437553,85.562447,557.772514
40,20,300,3,normal,2442.722400,495.779244,10.299545,89.700455,782.489221
40,20,300,3,grayhole_trust,893.592000,481.291490,4.194966,95.805034,377.890431
40,20,500,3,grayhole_trust,1169.596800,476.715601,3.279229,96.720771,583.986349
40,20,100,3,smartgray_none,1674.216000,351.285833,23.349199,76.650801,148.300294
40,20,200,3,smartgray_none,2174.558400,371.472989,15.162660,84.837340,252.718077
40,20,300,3,smartgray_none,2480.112000,480.644134,11.528112,88.471888,357.377328
40,20,400,3,smartgray_none,2640.340800,492.303628,9.204946,90.795054,460.965298
40,20,500,3,smartgray_none,2456.654400,490.478149,6.851611,93.148389,561.055955
40,20,100,3,smartgray_trust,624.499200,369.459435,8.979161,91.020839,173.025882
40,20,200,3,smartgray_trust,1007.510400,431.386985,7.123027,92.876973,275.301270





nNodes,nFlows,pps,areaMult,scenario,throughput,delay,pdr,dropRatio,energy
40,20,200,1,normal,2820.117600,487.709020,17.836690,82.163310,546.464016
40,20,200,2,normal,2198.145600,418.310678,13.902839,86.097161,531.109937
40,20,200,3,normal,2282.688000,393.926683,14.437553,85.562447,557.772514
40,20,200,4,grayhole_trust,342.619200,495.474915,2.432613,97.567387,286.896125
40,20,200,5,grayhole_trust,991.915200,450.143040,7.036582,92.963418,289.833673
40,20,200,1,smartgray_none,2625.393600,482.760523,18.306223,81.693777,248.820658
40,20,200,2,smartgray_none,1889.524800,426.769044,13.175191,86.824809,240.252431
40,20,200,3,smartgray_none,2174.558400,371.472989,15.162660,84.837340,252.718077
40,20,200,4,smartgray_none,1192.579200,548.103967,8.315561,91.684439,259.593203
40,20,200,5,smartgray_none,2021.587200,386.929629,14.096030,85.903970,268.730579
40,20,200,1,smartgray_trust,2513.332800,485.016482,17.543981,82.456019,248.785423
40,20,200,3,smartgray_trust,1007.510400,431.386985,7.123027,92.876973,275.301270
40,20,200,4,smartgray_trust,453.124800,473.370382,3.213620,96.786380,291.090391

