nNodes,nFlows,pps,areaMult,scenario,throughput,delay,pdr,dropRatio,energy
40,20,200,1,normal,19.61,24.8,95.12,4.88,8.37
40,20,200,2,normal,19.54,33.93,94.99,5.01,8.85
40,20,200,3,normal,18.8,41.44,94.37,5.63,9.0
40,20,200,4,normal,16.8,67.11,82.71,17.29,9.1
40,20,200,5,normal,15.21,107.49,80.93,33.07,10.02
40,20,200,1,grayhole_none,11.7,34.08,48.66,51.34,8.18
40,20,200,2,grayhole_none,10.19,46.66,46.17,53.83,9.28
40,20,200,3,grayhole_none,10.52,55.71,48.12,49.88,9.71
40,20,200,4,grayhole_none,7.59,86.31,35.16,64.84,9.63
40,20,200,5,grayhole_none,4.88,130.4,25.08,74.92,10.1
40,20,200,1,grayhole_ids,13.33,32.78,63.4,36.6,9.63
40,20,200,2,grayhole_ids,11.91,46.56,58.45,41.55,10.32
40,20,200,3,grayhole_ids,12.05,54.05,55.9,44.1,11.14
40,20,200,4,grayhole_ids,8.76,76.88,45.7,54.3,11.56
40,20,200,5,grayhole_ids,5.36,121.76,31.71,68.29,12.2
40,20,200,1,grayhole_mbdp,19.65,27.12,93.36,6.64,10.35
40,20,200,2,grayhole_mbdp,17.73,38.92,88.2,11.8,11.01
40,20,200,3,grayhole_mbdp,17.75,48.13,86.05,13.95,12.96
40,20,200,4,grayhole_mbdp,13.99,74.76,78.41,21.59,13.08
40,20,200,5,grayhole_mbdp,9.15,111.48,57.84,42.16,13.75
40,20,200,1,grayhole_trust,18.08,27.93,95.44,4.56,10.95
40,20,200,2,grayhole_trust,18.09,36.67,91.54,8.46,11.33
40,20,200,3,grayhole_trust,17.02,51.23,89.59,10.41,12.07
40,20,200,4,grayhole_trust,12.89,76.47,75.16,24.84,12.47
40,20,200,5,grayhole_trust,9.14,120.54,64.89,35.11,13.89
40,20,200,1,smartgray_none,19.1,28.41,95.5,4.5,8.42
40,20,200,2,smartgray_none,17.42,37.39,93.33,6.67,8.69
40,20,200,3,smartgray_none,17.18,43.61,89.92,10.08,8.54
40,20,200,4,smartgray_none,15.3,71.44,78.19,21.81,9.34
40,20,200,5,smartgray_none,14.98,112.88,61.9,38.1,9.97
40,20,200,1,smartgray_ids,14.81,29.0,90.21,2.79,8.69
40,20,200,2,smartgray_ids,13.71,37.81,91.22,3.78,9.22
40,20,200,3,smartgray_ids,12.67,44.55,88.24,10.76,9.88
40,20,200,4,smartgray_ids,12.06,72.51,85.09,21.91,10.43
40,20,200,5,smartgray_ids,10.9,102.84,83.01,34.99,10.93
40,20,200,1,smartgray_mbdp,15.02,27.54,94.36,3.64,8.07
40,20,200,2,smartgray_mbdp,14.17,37.42,90.1,9.9,9.25
40,20,200,3,smartgray_mbdp,13.18,46.4,86.4,10.6,9.34
40,20,200,4,smartgray_mbdp,12.98,72.62,82.79,17.21,10.28
40,20,200,5,smartgray_mbdp,11.81,112.68,80.33,39.67,11.35
40,20,200,1,smartgray_trust,17.14,26.79,97.78,2.22,9.83
40,20,200,2,smartgray_trust,16.62,35.55,96.42,3.58,10.26
40,20,200,3,smartgray_trust,15.78,45.65,90.08,9.92,11.54
40,20,200,4,smartgray_trust,14.03,66.32,84.66,15.34,11.99
40,20,200,5,smartgray_trust,13.48,106.56,63.92,36.08,12.35
