nNodes,nFlows,pps,areaMult,scenario,throughput,delay,pdr,dropRatio,energy
40,10,200,3,normal,20.03,32.41,95.92,4.08,8.14
40,20,200,3,normal,17.51,42.23,91.85,8.15,8.82
40,30,200,3,normal,16.37,54.22,88.99,11.01,9.84
40,40,200,3,normal,16.42,65.5,88.29,11.71,10.31
40,50,200,3,normal,14.51,80.91,87.43,12.57,11.39
40,10,200,3,grayhole_none,15.52,47.29,54.79,45.21,8.3
40,20,200,3,grayhole_none,10.07,56.13,51.55,48.45,9.45
40,30,200,3,grayhole_none,8.24,68.59,43.96,56.04,10.33
40,40,200,3,grayhole_none,6.79,81.99,40.83,59.17,10.58
40,50,200,3,grayhole_none,5.75,98.06,37.25,62.75,11.29
40,10,200,3,grayhole_ids,16.36,43.29,62.91,37.09,8.39
40,20,200,3,grayhole_ids,11.84,50.37,58.53,41.47,9.96
40,30,200,3,grayhole_ids,9.91,66.67,52.46,47.54,10.51
40,40,200,3,grayhole_ids,8.22,79.39,48.15,51.85,11.17
40,50,200,3,grayhole_ids,6.99,97.73,41.88,58.12,11.87
40,10,200,3,grayhole_mbdp,18.51,35.69,90.79,9.21,9.95
40,20,200,3,grayhole_mbdp,16.58,47.21,87.64,12.36,10.5
40,30,200,3,grayhole_mbdp,15.65,66.02,84.31,15.69,11.18
40,40,200,3,grayhole_mbdp,13.62,77.04,82.41,17.59,11.92
40,50,200,3,grayhole_mbdp,12.48,92.53,80.24,19.76,12.96
40,10,200,3,grayhole_trust,18.64,32.77,92.98,7.02,10.28
40,20,200,3,grayhole_trust,16.98,50.71,90.64,9.36,10.93
40,30,200,3,grayhole_trust,14.93,67.17,88.26,11.74,11.93
40,40,200,3,grayhole_trust,13.86,82.08,82.99,17.01,12.25
40,50,200,3,grayhole_trust,12.35,98.65,78.36,21.64,12.75
40,10,200,3,smartgray_none,17.63,34.88,90.57,9.43,8.04
40,20,200,3,smartgray_none,16.31,46.47,88.88,11.12,8.71
40,30,200,3,smartgray_none,15.05,58.79,87.1,9.9,9.49
40,40,200,3,smartgray_none,13.9,69.31,85.12,16.88,10.54
40,50,200,3,smartgray_none,12.66,82.87,83.71,20.29,10.77
40,10,200,3,smartgray_ids,13.66,34.8,85.15,4.85,8.85
40,20,200,3,smartgray_ids,12.17,43.31,86.03,7.97,9.37
40,30,200,3,smartgray_ids,11.48,59.58,83.68,12.32,9.98
40,40,200,3,smartgray_ids,10.47,74.38,81.89,15.11,10.12
40,50,200,3,smartgray_ids,9.61,89.15,80.7,17.3,11.34
40,10,200,3,smartgray_mbdp,15.73,33.35,89.01,7.99,9.01
40,20,200,3,smartgray_mbdp,14.73,43.15,88.55,11.45,9.95
40,30,200,3,smartgray_mbdp,13.56,56.86,86.22,11.78,10.68
40,40,200,3,smartgray_mbdp,12.46,70.9,83.8,16.2,11.58
40,50,200,3,smartgray_mbdp,11.26,85.96,77.96,22.04,12.56
40,10,200,3,smartgray_trust,16.38,30.9,92.97,7.03,9.55
40,20,200,3,smartgray_trust,15.8,41.81,90.38,9.62,9.99
40,30,200,3,smartgray_trust,14.07,56.12,89.33,10.67,10.88
40,40,200,3,smartgray_trust,14.23,69.77,82.98,17.02,11.91
40,50,200,3,smartgray_trust,13.53,82.05,83.38,16.62,12.93
