nNodes,nFlows,pps,areaMult,scenario,throughput,delay,pdr,dropRatio,energy
20,20,200,3,normal,18.88,29.55,94.58,5.42,4.67
40,20,200,3,normal,19.23,41.74,96.45,1.55,9.13
60,20,200,3,normal,17.56,55.95,93.41,6.59,12.55
80,20,200,3,normal,17.04,69.81,87.98,12.02,18.93
100,20,200,3,normal,16.04,89.52,85.78,14.22,25.47
20,20,200,3,grayhole_none,13.73,36.7,64.27,35.73,4.68
40,20,200,3,grayhole_none,10.37,57.14,48.51,51.49,10.04
60,20,200,3,grayhole_none,8.52,73.63,42.73,57.27,14.19
80,20,200,3,grayhole_none,7.58,91.15,37.2,62.8,19.62
100,20,200,3,grayhole_none,6.18,118.43,31.84,68.16,26.41
20,20,200,3,grayhole_ids,14.96,33.4,75.04,24.96,5.15
40,20,200,3,grayhole_ids,12.09,50.02,57.42,42.58,10.04
60,20,200,3,grayhole_ids,10.76,72.01,49.73,50.27,14.25
80,20,200,3,grayhole_ids,8.38,93.36,42.48,57.52,22.28
100,20,200,3,grayhole_ids,7.01,107.93,37.17,62.83,26.55
20,20,200,3,grayhole_mbdp,17.45,28.8,93.79,6.21,5.66
40,20,200,3,grayhole_mbdp,16.97,49.34,88.76,11.24,10.85
60,20,200,3,grayhole_mbdp,16.36,67.09,84.43,15.57,16.71
80,20,200,3,grayhole_mbdp,14.68,81.62,81.03,18.97,22.53
100,20,200,3,grayhole_mbdp,12.83,104.05,73.93,26.07,30.55
20,20,200,3,grayhole_trust,17.9,31.99,95.41,4.59,5.36
40,20,200,3,grayhole_trust,16.84,51.39,91.66,8.34,11.19
60,20,200,3,grayhole_trust,15.34,68.03,85.33,14.67,15.89
80,20,200,3,grayhole_trust,14.15,85.14,78.2,21.8,22.12
100,20,200,3,grayhole_trust,12.69,101.34,76.06,23.94,29.42
20,20,200,3,smartgray_none,18.08,30.64,89.52,10.48,4.77
40,20,200,3,smartgray_none,17.54,45.37,88.47,11.53,9.13
60,20,200,3,smartgray_none,15.38,60.15,87.52,16.48,13.4
80,20,200,3,smartgray_none,14.82,76.2,85.18,13.82,18.62
100,20,200,3,smartgray_none,13.24,96.82,83.6,18.4,24.01
20,20,200,3,smartgray_ids,12.47,30.03,85.36,10.64,4.73
40,20,200,3,smartgray_ids,11.77,43.3,83.92,13.08,9.07
60,20,200,3,smartgray_ids,11.72,59.99,82.06,15.54,13.86
80,20,200,3,smartgray_ids,10.82,78.91,80.81,19.19,19.74
100,20,200,3,smartgray_ids,9.84,102.06,77.26,22.74,25.25
20,20,200,3,smartgray_mbdp,14.42,30.91,86.53,7.47,4.58
40,20,200,3,smartgray_mbdp,13.89,46.33,85.46,12.54,8.84
60,20,200,3,smartgray_mbdp,13.33,62.86,85.05,14.95,14.22
80,20,200,3,smartgray_mbdp,12.32,78.11,81.12,13.88,18.25
100,20,200,3,smartgray_mbdp,11.62,98.1,77.81,22.19,25.32
20,20,200,3,smartgray_trust,15.46,29.15,97.02,2.98,5.44
40,20,200,3,smartgray_trust,15.49,43.34,96.2,3.8,14.44
60,20,200,3,smartgray_trust,14.65,58.18,91.52,8.48,19.51
80,20,200,3,smartgray_trust,13.42,73.6,87.13,12.87,24.39
100,20,200,3,smartgray_trust,12.55,95.29,82.07,17.93,29.23
