nNodes,nFlows,pps,areaMult,scenario,throughput,delay,pdr,dropRatio,energy
40,20,100,3,normal,19.17,31.9,99.6,0.4,6.73
40,20,200,3,normal,18.54,42.4,98.16,2.16,8.82
40,20,300,3,normal,17.53,50.6,95.64,5.36,10.69
40,20,400,3,normal,16.92,61.13,91.67,8.33,12.19
40,20,500,3,normal,15.52,80.65,87.94,12.06,13.24
40,20,100,3,grayhole_none,14.92,48.22,52.39,47.61,6.96
40,20,200,3,grayhole_none,10.49,55.03,50.72,49.28,9.74
40,20,300,3,grayhole_none,8.08,64.95,46.23,53.77,10.71
40,20,400,3,grayhole_none,6.77,82.28,39.5,60.5,13.1
40,20,500,3,grayhole_none,5.08,96.31,36.25,63.75,14.68
40,20,100,3,grayhole_ids,16.02,44.61,64.17,35.83,7.69
40,20,200,3,grayhole_ids,12.11,52.77,58.88,41.12,9.55
40,20,300,3,grayhole_ids,9.84,62.76,54.72,45.28,11.07
40,20,400,3,grayhole_ids,8.32,75.89,47.0,53.0,13.11
40,20,500,3,grayhole_ids,6.36,93.37,41.03,58.97,14.96
40,20,100,3,grayhole_mbdp,18.9,39.47,92.56,7.44,9.02
40,20,200,3,grayhole_mbdp,16.7,48.54,91.12,8.88,11.44
40,20,300,3,grayhole_mbdp,17.01,60.07,85.66,14.34,12.73
40,20,400,3,grayhole_mbdp,14.15,73.95,85.62,14.38,14.37
40,20,500,3,grayhole_mbdp,12.92,86.28,78.3,21.7,16.0
40,20,100,3,grayhole_trust,18.42,34.88,94.96,5.04,8.28
40,20,200,3,grayhole_trust,16.69,48.34,86.4,13.6,10.85
40,20,300,3,grayhole_trust,15.46,64.39,82.19,17.81,12.63
40,20,400,3,grayhole_trust,14.26,72.27,86.48,13.52,14.35
40,20,500,3,grayhole_trust,12.06,89.7,73.14,26.86,16.63
40,20,100,3,smartgray_none,19.02,35.11,96.11,3.89,7.22
40,20,200,3,smartgray_none,17.74,46.71,94.48,6.52,9.34
40,20,300,3,smartgray_none,16.21,53.3,90.85,9.15,10.5
40,20,400,3,smartgray_none,14.03,66.77,85.43,14.57,12.68
40,20,500,3,smartgray_none,12.43,84.89,82.29,17.71,14.32
40,20,100,3,smartgray_ids,12.15,38.44,95.34,4.66,7.18
40,20,200,3,smartgray_ids,11.72,44.48,85.09,14.91,9.22
40,20,300,3,smartgray_ids,10.46,56.31,88.14,11.86,10.9
40,20,400,3,smartgray_ids,9.9,65.9,85.68,14.32,12.93
40,20,500,3,smartgray_ids,9.0,83.04,80.32,19.68,13.85
40,20,100,3,smartgray_mbdp,13.16,36.25,88.38,11.62,7.1
40,20,200,3,smartgray_mbdp,12.45,45.97,88.36,11.64,8.92
40,20,300,3,smartgray_mbdp,10.23,54.11,85.8,14.2,10.81
40,20,400,3,smartgray_mbdp,10.09,68.13,80.55,19.45,12.2
40,20,500,3,smartgray_mbdp,9.68,84.56,80.61,19.39,14.59
40,20,100,3,smartgray_trust,16.84,34.72,95.73,4.27,7.56
40,20,200,3,smartgray_trust,15.5,44.22,91.02,8.98,10.54
40,20,300,3,smartgray_trust,15.0,51.8,88.94,11.06,11.7
40,20,400,3,smartgray_trust,14.47,66.1,87.45,12.55,13.4
40,20,500,3,smartgray_trust,13.28,79.16,83.34,16.66,16.12
